MSISDN,Account Status,Usage Type,Usage Sub Type,Transaction Date,Download (MB),Service ID,Service Name,Service Status,Service Start Date,Service End Date
9959650826,A,Data,Intl Roaming,4/17/2025 0:06,15596,15,Local_5GB,A,4/1/2025,5/1/2025
9959650827,A,Data,Local,4/17/2025 11:27,1539,75,Roaming_15GB,A,4/1/2025,5/31/2025
9959650828,A,Data,Local,4/17/2025 20:05,2971,15,Local_5GB,A,4/1/2025,5/1/2025
9959650829,A,Data,Local,4/17/2025 18:16,7224,15,Local_5GB,A,4/1/2025,5/1/2025
9959650830,A,Data,Local,4/17/2025 5:27,1526,25,Local_10GB,A,3/1/2025,3/31/2025
9959650831,A,Data,Local,4/17/2025 7:12,2832,15,Local_5GB,A,4/1/2025,5/1/2025
9959650832,A,Data,Local,4/17/2025 16:42,4168,15,Local_5GB,A,4/1/2025,5/1/2025
9959650833,A,Data,Local,4/17/2025 18:07,9543,15,Local_5GB,A,4/1/2025,5/1/2025
9959650834,A,Data,Local,4/17/2025 3:48,7384,25,Local_10GB,A,3/1/2025,3/31/2025
9959650835,A,Data,Local,4/17/2025 15:20,9268,25,Local_10GB,A,3/1/2025,3/31/2025
9959650836,A,Data,Local,4/17/2025 23:47,6578,25,Local_10GB,A,3/1/2025,3/31/2025
9959650837,A,Data,Local,4/17/2025 10:11,3834,25,Local_10GB,A,3/1/2025,3/31/2025
9959650838,A,Data,Local,4/17/2025 7:37,9917,15,Local_5GB,A,4/1/2025,5/1/2025
9959650839,A,Data,Local,4/17/2025 18:22,9598,25,Local_10GB,A,3/1/2025,3/31/2025
9959650840,A,Data,Local,4/17/2025 14:25,7105,25,Local_10GB,A,3/1/2025,3/31/2025
9959650841,A,Data,Intl Roaming,4/17/2025 11:43,9513,25,Local_10GB,A,3/1/2025,3/31/2025
9959650842,A,Data,Local,4/17/2025 3:46,9402,65,Roaming_10GB,A,4/1/2025,5/31/2025
9959650843,A,Data,Local,4/17/2025 22:39,7069,25,Local_10GB,A,3/1/2025,3/31/2025
9959650844,A,Data,Local,4/17/2025 11:09,9170,25,Local_10GB,A,3/1/2025,3/31/2025
9959650845,A,Data,Local,4/17/2025 15:21,2834,25,Local_10GB,A,3/1/2025,3/31/2025
9959650846,A,Data,Local,4/17/2025 20:18,3747,15,Local_5GB,A,4/1/2025,5/1/2025
9959650847,A,Data,Local,4/17/2025 6:59,1123,15,Local_5GB,A,4/1/2025,5/1/2025
9959650848,A,Data,Local,4/17/2025 4:43,5546,15,Local_5GB,A,4/1/2025,5/1/2025
9959650849,A,Data,Local,4/17/2025 15:51,28089,25,Local_10GB,A,3/1/2025,3/31/2025
9959650850,A,Data,Local,4/17/2025 0:54,6100,355,Local_UNL,A,1/1/2025 0:00,1/1/2026 0:00
9959650852,A,Data,Local,4/17/2025 13:13,3622,25,Local_10GB,A,3/1/2025 0:00,3/31/2025 0:00
9959650853,A,Data,Local,4/17/2025 14:29,9817,55,Roaming_5GB,A,4/1/2025 0:00,5/31/2025 0:00
9959650854,A,Data,Local,4/17/2025 17:10,1440,15,Local_5GB,A,4/1/2025 0:00,5/1/2025 0:00
9959650855,A,Data,Local,4/17/2025 16:19,1877,25,Local_10GB,A,3/1/2025 0:00,3/31/2025 0:00
9959650856,A,Data,Local,4/17/2025 17:44,1588,15,Local_5GB,A,4/1/2025 0:00,5/1/2025 0:00
9959650858,A,Data,Local,4/17/2025 7:59,4318,15,Local_5GB,A,4/1/2025 0:00,5/1/2025 0:00
9959650859,A,Data,Local,4/17/2025 14:24,88430,15,Local_5GB,A,5/1/2025 0:00,5/31/2025 0:00
9959650860,A,Data,Local,4/17/2025 3:49,5073,15,Local_5GB,A,4/1/2025 0:00,5/1/2025 0:00
9959650861,A,Data,Local,4/17/2025 20:17,6952,15,Local_5GB,A,4/1/2025 0:00,5/1/2025 0:00
9959650862,A,Data,Local,4/17/2025 6:20,8822,355,Local_UNL,A,1/1/2025 0:00,1/1/2026 0:00
9959650863,A,Data,Local,4/17/2025 4:35,2959,25,Local_10GB,A,3/1/2025 0:00,3/31/2025 0:00
9959650864,A,Data,Local,4/17/2025 6:42,5775,25,Local_10GB,A,3/1/2025 0:00,3/31/2025 0:00
9959650865,A,Data,Local,4/17/2025 5:57,111083,25,Local_10GB,A,3/1/2025 0:00,3/31/2025 0:00
9959650866,A,Data,Local,4/17/2025 11:25,1469,15,Local_5GB,A,4/1/2025 0:00,5/1/2025 0:00
9959650867,A,Data,Local,4/17/2025 5:40,1432,25,Local_10GB,A,3/1/2025 0:00,3/31/2025 0:00
9959650868,A,Data,Local,4/17/2025 13:17,5476,355,Local_UNL,A,1/1/2025 0:00,1/1/2026 0:00
9959650869,A,Data,Local,4/17/2025 21:37,8649,15,Local_5GB,A,4/1/2025,5/1/2025
9959650870,A,Data,Local,4/17/2025 22:39,9148,15,Local_5GB,A,4/1/2025,5/1/2025
9959650871,A,Data,Local,4/17/2025 17:51,5292,25,Local_10GB,A,3/1/2025,6/9/2025
9959650872,A,Data,Local,4/17/2025 7:50,8176,25,Local_10GB,A,3/1/2025,6/9/2025
9959650873,A,Data,Local,4/17/2025 13:25,4021,25,Local_10GB,A,3/1/2025,6/9/2025
9959650874,A,Data,Local,4/17/2025 2:02,2163,25,Local_10GB,A,3/1/2025,6/9/2025
9959650875,A,Data,Local,4/17/2025 6:49,6818,25,Local_10GB,A,3/1/2025,6/9/2025
9959650876,A,Data,Local,4/17/2025 7:03,1924,15,Local_5GB,A,4/1/2025,7/10/2025
9959650877,A,Data,Local,4/17/2025 23:19,4316,15,Local_5GB,A,4/1/2025,7/10/2025
9959650878,A,Data,Local,4/17/2025 9:32,1484,25,Local_10GB,A,3/1/2025,6/9/2025
9959650879,A,Data,Local,4/17/2025 10:46,6325,15,Local_5GB,A,4/1/2025,7/10/2025
9959650880,A,Data,Local,4/17/2025 0:33,9479,15,Local_5GB,A,4/1/2025,7/10/2025
9959650881,A,Data,Local,4/17/2025 13:27,6767,15,Local_5GB,A,4/1/2025,7/10/2025
9959650882,A,Data,Local,4/17/2025 17:13,5296,25,Local_10GB,A,3/1/2025,6/9/2025
9959650883,A,Data,Local,4/17/2025 2:54,8812,25,Local_10GB,A,3/1/2025,6/9/2025
9959650884,A,Data,Local,4/17/2025 14:39,9465,25,Local_10GB,A,3/1/2025,6/9/2025
9959650885,A,Data,Local,4/17/2025 8:28,5857,25,Local_10GB,A,3/1/2025,6/9/2025
9959650886,A,Data,Local,4/17/2025 10:53,5623,25,Local_10GB,A,3/1/2025,6/9/2025
9959650887,A,Data,Intl Roaming,4/17/2025 22:37,6665,25,Local_10GB,A,3/1/2025,6/9/2025
9959650888,A,Data,Local,4/17/2025 6:22,7643,25,Local_10GB,A,3/1/2025,6/9/2025
9959650889,A,Data,Local,4/17/2025 16:34,4981,25,Local_10GB,A,3/1/2025,6/9/2025
9959650890,A,Data,Local,4/17/2025 18:47,3505,55,Roaming_5GB,D,4/1/2025,7/10/2025
9959650891,A,Data,Local,4/17/2025 15:37,1839,25,Local_10GB,A,3/1/2025,6/9/2025
9959650892,A,Data,Local,4/17/2025 11:03,8076,15,Local_5GB,A,4/1/2025,7/10/2025
9959650893,A,Data,Local,4/17/2025 2:37,9034,15,Local_5GB,A,4/1/2025,7/10/2025
9959650894,A,Data,Local,4/17/2025 9:00,9124,15,Local_5GB,A,4/1/2025,7/10/2025
9959650895,A,Data,Local,4/17/2025 13:31,5131,25,Local_10GB,A,3/1/2025,6/9/2025
9959650896,A,Data,Local,4/17/2025 11:40,4501,25,Local_10GB,A,3/1/2025,6/9/2025
9959650887,A,Data,Intl Roaming,4/17/2025 22:37,6665,25,Local_10GB,A,3/1/2025,6/9/2025
9959650896,A,Data,Local,4/17/2025 11:40,4501,15,Local_5GB,A,4/1/2025,7/10/2025
9959650887,A,Data,Intl Roaming,4/17/2025 22:37,6665,55,Roaming_5GB,A,4/1/2025,7/10/2025
9959650797,A,Data,Local,4/12/2025 9:31,4428,15,Local_5GB,A,4/1/2025,7/10/2025
9959650798,A,Data,Intl Roaming,4/12/2025 9:31,2700,55,Roaming_5GB,A,4/1/2025,7/10/2025
9959650799,A,Data,Local,4/12/2025 9:31,4058,15,Local_5GB,A,4/1/2025,7/10/2025
9959650800,A,Data,Local,4/12/2025 9:31,1704,15,Local_5GB,A,4/1/2025,7/10/2025
9959650801,A,Data,Local,4/12/2025 9:31,6308,25,Local_10GB,A,3/1/2025,6/9/2025
9959650802,A,Data,Local,4/12/2025 9:31,5050,25,Local_10GB,A,3/1/2025,6/9/2025
9959650802,A,Data,Local,4/12/2025 9:31,8571,25,Local_10GB,A,3/1/2025,6/9/2025
9959650802,A,Data,Local,4/12/2025 9:31,7247,25,Local_10GB,A,3/1/2025,6/9/2025
9959650805,A,Data,Local,4/12/2025 9:31,7714,25,Local_10GB,A,3/1/2025,6/9/2025
9959650805,A,Data,Local,4/12/2025 9:31,3439,15,Local_5GB,A,4/1/2025,7/10/2025
9959650805,A,Data,Local,4/12/2025 9:31,2582,15,Local_5GB,A,4/1/2025,7/10/2025
9959650808,A,Data,Local,4/12/2025 9:31,8198,25,Local_10GB,A,3/1/2025,6/9/2025
9959650808,A,Data,Intl Roaming,4/12/2025 9:31,9962,65,Roaming_10GB,A,4/1/2025,7/10/2025
9959650808,A,Data,Local,4/12/2025 9:31,9007,25,Local_10GB,A,3/1/2025,6/9/2025
9959650808,A,Data,Local,4/12/2025 9:31,4598,15,Local_5GB,A,4/1/2025,7/10/2025
9959650812,A,Data,Local,4/12/2025 9:31,5977,25,Local_10GB,A,3/1/2025,6/9/2025
9959650813,A,Data,Local,4/12/2025 9:31,6535,25,Local_10GB,A,3/1/2025,6/9/2025
9959650814,A,Data,Local,4/12/2025 9:31,5280,25,Local_10GB,A,3/1/2025,6/9/2025
9959650815,A,Data,Local,4/12/2025 9:31,1180,15,Local_5GB,A,4/1/2025,7/10/2025
9959650816,A,Data,Local,4/12/2025 9:31,9562,25,Local_10GB,A,3/1/2025,6/9/2025
9959650817,A,Data,Local,4/12/2025 9:31,3507,15,Local_5GB,A,4/1/2025,7/10/2025
9959650818,A,Data,Local,4/12/2025 9:31,7411,25,Local_10GB,A,3/1/2025,6/9/2025
9959650819,A,Data,Local,4/12/2025 9:31,6381,25,Local_10GB,A,3/1/2025,6/9/2025
9959650820,A,Data,Local,4/12/2025 9:31,4771,15,Local_5GB,A,4/1/2025,7/10/2025
9959650821,A,Data,Local,4/12/2025 9:31,6483,25,Local_10GB,A,3/1/2025,6/9/2025
9959650822,A,Data,Local,4/12/2025 9:31,1015,15,Local_5GB,D,4/1/2025,7/10/2025
9959650823,A,Data,Local,4/12/2025 9:31,7679,25,Local_10GB,A,3/1/2025,6/9/2025
9959650824,A,Data,Local,4/12/2025 9:31,1933,15,Local_5GB,A,4/1/2025,7/10/2025
9959650825,A,Data,Local,4/12/2025 9:31,3544,15,Local_5GB,A,4/1/2025,7/10/2025
9959650826,A,Data,Intl Roaming,4/12/2025 9:31,15596,75,Roaming_15GB,A,4/1/2025,7/10/2025
9959650827,A,Data,Local,4/12/2025 9:31,1539,15,Local_5GB,A,4/1/2025,7/10/2025
9959650828,A,Data,Local,4/12/2025 9:31,2971,15,Local_5GB,A,4/1/2025,7/10/2025
9959650829,A,Data,Local,4/12/2025 9:31,7224,25,Local_10GB,A,3/1/2025,6/9/2025
9959650830,A,Data,Local,4/12/2025 9:31,1526,15,Local_5GB,A,4/1/2025,7/10/2025
9959650831,A,Data,Local,4/12/2025 9:31,2832,15,Local_5GB,A,4/1/2025,7/10/2025
9959650832,A,Data,Local,4/12/2025 9:31,4168,15,Local_5GB,A,4/1/2025,7/10/2025
9959650833,A,Data,Local,4/12/2025 9:31,9543,25,Local_10GB,A,3/1/2025,6/9/2025
9959650834,A,Data,Local,4/12/2025 9:31,7384,25,Local_10GB,A,3/1/2025,6/9/2025
9959650835,A,Data,Local,4/12/2025 9:31,9268,25,Local_10GB,A,3/1/2025,6/9/2025
9959650836,A,Data,Local,4/12/2025 9:31,6578,25,Local_10GB,A,3/1/2025,6/9/2025
9959650837,A,Data,Local,4/12/2025 9:31,3834,15,Local_5GB,A,4/1/2025,7/10/2025
9959650838,A,Data,Local,4/12/2025 9:31,9917,25,Local_10GB,A,3/1/2025,6/9/2025
9959650839,A,Data,Local,4/12/2025 9:31,9598,25,Local_10GB,A,3/1/2025,6/9/2025
9959650840,A,Data,Local,4/12/2025 9:31,7105,25,Local_10GB,A,3/1/2025,6/9/2025
9959650841,A,Data,Intl Roaming,4/12/2025 9:31,9513,65,Roaming_10GB,A,4/1/2025,7/10/2025
9959650842,A,Data,Local,4/12/2025 9:31,9402,25,Local_10GB,A,3/1/2025,6/9/2025
9959650843,A,Data,Local,4/12/2025 9:31,7069,25,Local_10GB,A,3/1/2025,6/9/2025
9959650844,A,Data,Local,4/12/2025 9:31,9170,25,Local_10GB,A,3/1/2025,6/9/2025
9959650845,A,Data,Local,4/12/2025 9:31,2834,15,Local_5GB,A,4/1/2025,7/10/2025
9959650846,A,Data,Local,4/12/2025 9:31,3747,15,Local_5GB,A,4/1/2025,7/10/2025
9959650847,A,Data,Local,4/12/2025 9:31,1123,15,Local_5GB,A,4/1/2025,7/10/2025
9959650848,A,Data,Local,4/12/2025 9:31,5546,25,Local_10GB,A,3/1/2025,6/9/2025
9959650849,A,Data,Local,4/12/2025 9:31,28089,355,Local_UNL,A,1/1/2025 0:00,4/11/2025
9959650850,A,Data,Local,4/12/2025 9:31,6100,25,Local_10GB,A,3/1/2025 0:00,6/9/2025
9959650851,A,Data,Intl Roaming,4/12/2025 9:31,5272,55,Roaming_5GB,A,4/1/2025 0:00,7/10/2025
9959650852,A,Data,Local,4/12/2025 9:31,3622,15,Local_5GB,A,4/1/2025 0:00,7/10/2025
9959650853,A,Data,Local,4/12/2025 9:31,9817,25,Local_10GB,A,3/1/2025 0:00,6/9/2025
9959650854,A,Data,Local,4/12/2025 9:31,1440,15,Local_5GB,A,4/1/2025 0:00,7/10/2025
9959650855,A,Data,Local,4/12/2025 9:31,1877,15,Local_5GB,A,4/1/2025 0:00,7/10/2025
9959650856,A,Data,Local,4/12/2025 9:31,1588,15,Local_5GB,A,4/1/2025 0:00,7/10/2025
9959650857,A,Data,Local,4/12/2025 9:31,2059,15,Local_5GB,A,4/1/2025 0:00,7/10/2025
9959650858,A,Data,Local,4/12/2025 9:31,4318,15,Local_5GB,A,4/1/2025 0:00,7/10/2025
9959650859,A,Data,Local,4/12/2025 9:31,88430,355,Local_UNL,A,1/1/2025 0:00,4/11/2025
9959650860,A,Data,Local,4/12/2025 9:31,5073,25,Local_10GB,A,3/1/2025 0:00,6/9/2025
9959650861,A,Data,Local,4/12/2025 9:31,6952,25,Local_10GB,A,3/1/2025 0:00,6/9/2025
9959650862,A,Data,Local,4/12/2025 9:31,8822,25,Local_10GB,A,3/1/2025 0:00,6/9/2025
9959650863,A,Data,Local,4/12/2025 9:31,2959,15,Local_5GB,A,4/1/2025 0:00,7/10/2025
9959650864,A,Data,Local,4/12/2025 9:31,5775,25,Local_10GB,A,3/1/2025 0:00,6/9/2025
9959650865,A,Data,Local,4/12/2025 9:31,111083,355,Local_UNL,A,1/1/2025 0:00,4/11/2025
9959650866,A,Data,Local,4/12/2025 9:31,1469,15,Local_5GB,A,4/1/2025,7/10/2025
9959650867,A,Data,Local,4/12/2025 9:31,1432,15,Local_5GB,A,4/1/2025,7/10/2025
9959650868,A,Data,Local,4/12/2025 9:31,5476,25,Local_10GB,A,3/1/2025,6/9/2025
9959650869,A,Data,Local,4/12/2025 9:31,8649,25,Local_10GB,A,3/1/2025,6/9/2025
9959650870,A,Data,Local,4/12/2025 9:31,9148,25,Local_10GB,A,3/1/2025,6/9/2025
9959650871,A,Data,Local,4/12/2025 9:31,5292,25,Local_10GB,A,3/1/2025,6/9/2025
9959650872,A,Data,Local,4/12/2025 9:31,8176,25,Local_10GB,A,3/1/2025,6/9/2025
9959650873,A,Data,Local,4/12/2025 9:31,4021,15,Local_5GB,A,4/1/2025,7/10/2025
9959650874,A,Data,Local,4/12/2025 9:31,2163,15,Local_5GB,A,4/1/2025,7/10/2025
9959650875,A,Data,Local,4/12/2025 9:31,6818,25,Local_10GB,A,3/1/2025,6/9/2025
9959650876,A,Data,Local,4/12/2025 9:31,1924,15,Local_5GB,A,4/1/2025,7/10/2025
9959650877,A,Data,Local,4/12/2025 9:31,4316,15,Local_5GB,A,4/1/2025,7/10/2025
9959650878,A,Data,Local,4/12/2025 9:31,1484,15,Local_5GB,A,4/1/2025,7/10/2025
9959650879,A,Data,Local,4/12/2025 9:31,6325,25,Local_10GB,A,3/1/2025,6/9/2025
9959650880,A,Data,Local,4/12/2025 9:31,9479,25,Local_10GB,A,3/1/2025,6/9/2025
9959650881,A,Data,Local,4/12/2025 9:31,6767,25,Local_10GB,A,3/1/2025,6/9/2025
9959650882,A,Data,Local,4/12/2025 9:31,5296,25,Local_10GB,A,3/1/2025,6/9/2025
9959650883,A,Data,Local,4/12/2025 9:31,8812,25,Local_10GB,A,3/1/2025,6/9/2025
9959650884,A,Data,Local,4/12/2025 9:31,9465,25,Local_10GB,A,3/1/2025,6/9/2025
9959650885,A,Data,Local,4/12/2025 9:31,5857,25,Local_10GB,A,3/1/2025,6/9/2025
9959650886,A,Data,Local,4/12/2025 9:31,5623,25,Local_10GB,A,3/1/2025,6/9/2025
9959650887,A,Data,Intl Roaming,4/12/2025 9:31,6665,55,Roaming_5GB,D,4/1/2025,7/10/2025
9959650888,A,Data,Local,4/12/2025 9:31,7643,25,Local_10GB,A,3/1/2025,6/9/2025
9959650889,A,Data,Local,4/12/2025 9:31,4981,15,Local_5GB,A,4/1/2025,7/10/2025
9959650890,A,Data,Local,4/12/2025 9:31,3505,15,Local_5GB,A,4/1/2025,7/10/2025
9959650891,A,Data,Local,4/12/2025 9:31,1839,15,Local_5GB,A,4/1/2025,7/10/2025
9959650892,A,Data,Local,4/12/2025 9:31,8076,25,Local_10GB,A,3/1/2025,6/9/2025
9959650893,A,Data,Local,4/12/2025 9:31,9034,25,Local_10GB,A,3/1/2025,6/9/2025
9959650894,A,Data,Local,4/12/2025 9:31,9124,25,Local_10GB,A,3/1/2025,6/9/2025
9959650895,A,Data,Local,4/12/2025 9:31,5131,25,Local_10GB,A,3/1/2025,6/9/2025
9959650896,A,Data,Local,4/12/2025 9:31,4501,15,Local_5GB,A,4/1/2025,7/10/2025
9959650887,A,Data,Intl Roaming,4/12/2025 9:31,6665,55,Roaming_5GB,A,4/1/2025,7/10/2025
9959650797,A,Data,Local,4/13/2025 9:31,4428,15,Local_5GB,A,4/1/2025,7/10/2025
9959650798,A,Data,Intl Roaming,4/14/2025 9:31,2700,55,Roaming_5GB,A,4/1/2025,7/10/2025
9959650799,A,Data,Local,4/15/2025 9:31,4058,15,Local_5GB,A,4/1/2025,7/10/2025
9959650800,A,Data,Local,4/16/2025 9:31,1704,15,Local_5GB,A,4/1/2025,7/10/2025
9959650801,A,Data,Local,4/17/2025 9:31,6308,25,Local_10GB,A,3/1/2025,6/9/2025
9959650802,A,Data,Local,4/18/2025 9:31,5050,25,Local_10GB,A,3/1/2025,6/9/2025
9959650802,A,Data,Local,4/19/2025 9:31,8571,25,Local_10GB,A,3/1/2025,6/9/2025
9959650802,A,Data,Local,4/20/2025 9:31,7247,25,Local_10GB,A,3/1/2025,6/9/2025
9959650805,A,Data,Local,4/21/2025 9:31,7714,25,Local_10GB,A,3/1/2025,6/9/2025
9959650805,A,Data,Local,4/22/2025 9:31,3439,15,Local_5GB,A,4/1/2025,7/10/2025
9959650805,A,Data,Local,4/23/2025 9:31,2582,15,Local_5GB,A,4/1/2025,7/10/2025
9959650808,A,Data,Local,4/24/2025 9:31,8198,25,Local_10GB,A,3/1/2025,6/9/2025
9959650808,A,Data,Intl Roaming,4/25/2025 9:31,9962,65,Roaming_10GB,A,4/1/2025,7/10/2025
9959650808,A,Data,Local,4/26/2025 9:31,9007,25,Local_10GB,A,3/1/2025,6/9/2025
9959650808,A,Data,Local,4/27/2025 9:31,4598,15,Local_5GB,A,4/1/2025,7/10/2025
9959650812,A,Data,Local,4/28/2025 9:31,5977,25,Local_10GB,A,3/1/2025,6/9/2025
9959650813,A,Data,Local,4/29/2025 9:31,6535,25,Local_10GB,A,3/1/2025,6/9/2025
9959650814,A,Data,Local,4/30/2025 9:31,5280,25,Local_10GB,A,3/1/2025,6/9/2025
9959650815,A,Data,Local,5/1/2025 9:31,1180,15,Local_5GB,A,4/1/2025,7/10/2025
9959650816,A,Data,Local,5/2/2025 9:31,9562,25,Local_10GB,A,3/1/2025,6/9/2025
9959650817,A,Data,Local,5/3/2025 9:31,3507,15,Local_5GB,A,4/1/2025,7/10/2025
9959650818,A,Data,Local,5/4/2025 9:31,7411,25,Local_10GB,A,3/1/2025,6/9/2025
9959650819,A,Data,Local,5/5/2025 9:31,6381,25,Local_10GB,A,3/1/2025,6/9/2025
9959650820,A,Data,Local,5/6/2025 9:31,4771,15,Local_5GB,A,4/1/2025,7/10/2025
9959650821,A,Data,Local,5/7/2025 9:31,6483,25,Local_10GB,A,3/1/2025,6/9/2025
9959650822,A,Data,Local,5/8/2025 9:31,1015,15,Local_5GB,D,4/1/2025,7/10/2025
9959650823,A,Data,Local,5/9/2025 9:31,7679,25,Local_10GB,A,3/1/2025,6/9/2025
9959650824,A,Data,Local,5/10/2025 9:31,1933,15,Local_5GB,A,4/1/2025,7/10/2025
9959650825,A,Data,Local,5/11/2025 9:31,3544,15,Local_5GB,A,4/1/2025,7/10/2025
9959650826,A,Data,Intl Roaming,5/12/2025 9:31,15596,75,Roaming_15GB,A,4/1/2025,7/10/2025
9959650827,A,Data,Local,5/13/2025 9:31,1539,15,Local_5GB,A,4/1/2025,7/10/2025
9959650828,A,Data,Local,5/14/2025 9:31,2971,15,Local_5GB,A,4/1/2025,7/10/2025
9959650829,A,Data,Local,5/15/2025 9:31,7224,25,Local_10GB,A,3/1/2025,6/9/2025
9959650830,A,Data,Local,5/16/2025 9:31,1526,15,Local_5GB,A,4/1/2025,7/10/2025
9959650831,A,Data,Local,5/17/2025 9:31,2832,15,Local_5GB,A,4/1/2025,7/10/2025
9959650832,A,Data,Local,5/18/2025 9:31,4168,15,Local_5GB,A,4/1/2025,7/10/2025
9959650833,A,Data,Local,5/19/2025 9:31,9543,25,Local_10GB,A,3/1/2025,6/9/2025
9959650834,A,Data,Local,5/20/2025 9:31,7384,25,Local_10GB,A,3/1/2025,6/9/2025
9959650835,A,Data,Local,5/21/2025 9:31,9268,25,Local_10GB,A,3/1/2025,6/9/2025
9959650836,A,Data,Local,5/22/2025 9:31,6578,25,Local_10GB,A,3/1/2025,6/9/2025
9959650837,A,Data,Local,5/23/2025 9:31,3834,15,Local_5GB,A,4/1/2025,7/10/2025
9959650838,A,Data,Local,5/24/2025 9:31,9917,25,Local_10GB,A,3/1/2025,6/9/2025
9959650839,A,Data,Local,5/25/2025 9:31,9598,25,Local_10GB,A,3/1/2025,6/9/2025
9959650840,A,Data,Local,5/26/2025 9:31,7105,25,Local_10GB,A,3/1/2025,6/9/2025
9959650841,A,Data,Intl Roaming,5/27/2025 9:31,9513,65,Roaming_10GB,A,4/1/2025,7/10/2025
9959650842,A,Data,Local,5/28/2025 9:31,9402,25,Local_10GB,A,3/1/2025,6/9/2025
9959650843,A,Data,Local,5/29/2025 9:31,7069,25,Local_10GB,A,3/1/2025,6/9/2025
9959650844,A,Data,Local,5/30/2025 9:31,9170,25,Local_10GB,A,3/1/2025,6/9/2025
9959650845,A,Data,Local,5/31/2025 9:31,2834,15,Local_5GB,A,4/1/2025,7/10/2025
9959650846,A,Data,Local,6/1/2025 9:31,3747,15,Local_5GB,A,4/1/2025,7/10/2025
9959650847,A,Data,Local,6/2/2025 9:31,1123,15,Local_5GB,A,4/1/2025,7/10/2025
9959650848,A,Data,Local,6/3/2025 9:31,5546,25,Local_10GB,A,3/1/2025,6/9/2025
9959650849,A,Data,Local,6/4/2025 9:31,28089,355,Local_UNL,A,1/1/2025 0:00,4/11/2025
9959650850,A,Data,Local,6/5/2025 9:31,6100,25,Local_10GB,A,3/1/2025 0:00,6/9/2025
9959650851,A,Data,Intl Roaming,6/6/2025 9:31,5272,55,Roaming_5GB,A,4/1/2025 0:00,7/10/2025
9959650852,A,Data,Local,6/7/2025 9:31,3622,15,Local_5GB,A,4/1/2025 0:00,7/10/2025
9959650853,A,Data,Local,6/8/2025 9:31,9817,25,Local_10GB,A,3/1/2025 0:00,6/9/2025
9959650854,A,Data,Local,6/9/2025 9:31,1440,15,Local_5GB,A,4/1/2025 0:00,7/10/2025
